Trn# (Internal - Atual);Deal Original;Trn# (External);Counterpart;Status (LIVE/MKT_OP/DEAD);Desc: Complete Trn.Type(Sum);Trn.Date;Date: Period calc. start;Date: Period calc. end;Date: Period expiry date;Nominal amount (Leg 1);IRD: Leg 1 currency;RT:Current Capital(1st leg);RT:Fix/Var rate (1st leg);RT:Pay/Rec(1st leg,FixRate);RT:Main convention(1st leg);RT:Main fix.freq (1st leg);RT:Main index(1st leg);RT:Main margin(1st leg);RT:Main rate(1st leg);RT:Curr.rate(1st leg);RT:Curr.fixing date(1st leg);RT:Curr.calc1 date(1st leg);RT:Curr.paymnt date(1st leg);RT:Prev.amount(1st leg);RT:Curr.amount(1st leg);RT:Accrual(1st leg);RT:Next fixing date(1st leg);RT:Next calc1 date(1st leg);RT:Interest first exact period flag (1st leg) (Y/N);RT:Interest last exact period flag (1st leg) (Y/N);RT:Principal exchange flag (1st leg) (Y/N);Nominal amount (2nd Leg);IRD: Leg 2 currency;RT:Current Capital(2nd leg);RT:Fix/Var rate (2nd leg);RT:Pay/Rec(2nd leg,FixRate);RT:Main convention(2nd leg);RT:Main fix.freq (2nd leg);RT:Main index(2nd leg);RT:Main margin(2nd leg);RT:Main rate(2nd leg);RT:Curr.rate(2nd leg);RT:Curr.fixing date(2nd leg);RT:Curr.calc1 date(2nd leg);RT:Curr.paymnt date(2nd leg);RT:Prev.amount(2nd leg);RT:Curr.amount(2nd leg);RT:Accrual(2nd leg);RT:Next fixing date(2nd leg);RT:Next calc2 date(2nd leg);RT:Interest first exact period flag (2nd leg) (Y/N);RT:Interest last exact period flag (2nd leg) (Y/N);RT:Principal exchange flag (2nd leg) (Y/N);BUY/SELL;Call/Put;American/European (A/E);Strike;PL currency;Discounted market value;Portfolio;Barrier Value;ZCliente;Número da estrutura;Código do Contrato Assinado;Código do Documento;Counterpart_Shortname;Ficticia;Ref Contract;Conta;cempresa;Proposta;Consumo;Produto;Sub Produto;UTI;Cap;Floor;Caract Mx
9221443;7934330;7867434;BANCO SANTANDER SA;Live;OTC Option;24-02-2023;24-02-2023;12-03-2025;12-03-2025;20000000;EUR;23087658.36;;;;;;;;;;;20-03-2025;;23087658.36;0;12-03-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Put;European;3951.57;EUR;;ST_ALM_DER_EMI;;3686;20859;20859.001;DR0345177;BSTE;;20859.001;05800044;31;;3815697.01097;102;P5N;5493006QMFDDMYWIAM13GBO00000000000000000002311977921;;;EQD_OPT_FLEX
9221444;7934337;7867434;EMISSOES PASSIVO, PORTUGAL;Live;OTC Option;24-02-2023;24-02-2023;12-03-2025;12-03-2025;20000000;EUR;23087658.36;;;;;;;;;;;20-03-2025;;23087658.36;0;12-03-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Put;European;3951.57;EUR;;ST_ALM_DER_EMI;;0000041875;20859;20859.002;DR0345176;9CFL;FICTICIA;20859.002;05901046;31;;;102;EN8;URJH9VSI58SAN00000000000000000000568949910;;;EQD_OPT_FLEX
10978357;8145794;8133862;BANCO SANTANDER SA;Live;OTC Option;26-04-2023;26-04-2023;23-05-2025;23-05-2025;20000000;EUR;44099784.23;;;;;;;;;;;30-05-2025;;44099784.23;0;23-05-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Put;European;1544.23;EUR;;ST_ALM_DER_EMI;100;3686;21044;21044.001;DR0345327;BSTE;;21044.001;05800044;31;;11126242.03031;102;P5N;5493006QMFDDMYWIAM13GBO00000000000000000002342216121;;;EQD_OPT_FLEX
10978361;8145806;8133862;EMISSOES PASSIVO, PORTUGAL;Live;OTC Option;26-04-2023;26-04-2023;23-05-2025;23-05-2025;20000000;EUR;44099784.23;;;;;;;;;;;30-05-2025;;44099784.23;0;23-05-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Put;European;1544.23;EUR;;ST_ALM_DER_EMI;100;0000041875;21044;21044.002;DR0345328;9CFL;FICTICIA;21044.002;05901046;31;;;102;EN8;URJH9VSI58SAN00000000000000000000569653510;;;EQD_OPT_FLEX
10217322;9941272;2880010401;BANCO SANTANDER SA;Live;OTC Option;03-04-2024;03-04-2024;24-04-2025;24-04-2025;10000000;EUR;5467434.67;;;;;;;;;;;29-04-2025;;5467434.67;0;24-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1669;EUR;;ST_ALM_DER_EMI;;3686;22047;22047.001;DR0346707;BSTE;;22047.003;05800044;31;;938437.73886;102;C1N;;;;EQD_OPT_FLEX
10217343;9941312;2880010401;EMISSOES PASSIVO, PORTUGAL;Live;OTC Option;03-04-2024;03-04-2024;24-04-2025;24-04-2025;10000000;EUR;5467434.67;;;;;;;;;;;29-04-2025;;5467434.67;0;24-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1669;EUR;;ST_ALM_DER_EMI;;0000041875;22047;22047.002;DR0346702;9CFL;FICTICIA;22047.004;05901046;31;;;102;EN4;URJH9VSI58SAN00000000000000000000574736810;;;EQD_OPT_FLEX
53686251;52062421;52062421;NOVARROZ - PRODUTOS ALIMENTARES SA;Live;OTC Option;05-12-2024;05-12-2024;11-04-2025;11-04-2025;5600000;USD;4105000;;;;;;;;;;;15-04-2025;;4105000;147414.89;11-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Put;American;1.05;EUR;;ST_FX_REDES;;1700201103;22805;22805.001;DR0347797;9DBU;;;05231561;31;;;102;CF4;URJH9VSI58SAN00000000000000000000578515410;;;CURR_OPT_SMP
53379441;53379441;53378777;BANCO SANTANDER SA;Live;OTC Option;22-01-2025;22-01-2025;19-03-2025;19-03-2025;96000;USD;96000;;;;;;;;;;;21-03-2025;;96000;135.25;19-03-2025;;;;;92201.30618517;EUR;92201.30618517;;;;;;;;;;;;;;;;;;;;Buy;Put;AmerFwd4;1.0412;EUR;;ST_FX_REDES;;3686;22917;22917.002;DR0348022;BSTE;;;05800044;31;;3970.32638;102;PF5;;;;CURR_OPT_FLEX
53378777;53378777;53378777;FRIJOBEL - INDUSTRIA E COMERCIO ALIMENTAR S.A.;Live;OTC Option;22-01-2025;22-01-2025;19-03-2025;19-03-2025;96000;USD;96000;;;;;;;;;;;21-03-2025;;96000;0;19-03-2025;;;;;92201.30618517;EUR;92201.30618517;;;;;;;;;;;;;;;;;;;;Sell;Put;AmerFwd4;1.0412;EUR;;ST_FX_REDES;;8024663816;22917;22917.001;DR0348009;J1D7;;;05206401;31;1000705960;4067.93443;102;PF8;URJH9VSI58SAN00000000000000000000579231410;;;CURR_OPT_FLEX
53258723;53258723;53258433;BANCO SANTANDER SA;Live;OTC Option;17-01-2025;17-01-2025;17-09-2025;17-09-2025;1600000;USD;1600000;;;;;;;;;;;19-09-2025;;1600000;-188900;17-09-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1.04;EUR;;ST_FX_CORP_GL;;3686;22900;22900.002;DR0347980;BSTE;;;05800044;31;;158986.58342;102;PF5;;;;CURR_OPT_SMP
52009000;52009000;52009000;IMPORCELOS - IMPORTACAO DE LOUCAS E BRINQUEDOS LDA;Live;OTC Option;04-12-2024;04-12-2024;17-04-2025;17-04-2025;250000;USD;250000;;;;;;;;;;;22-04-2025;;250000;0;17-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1.076;EUR;;ST_FX_REDES;;5100276161;22796;22796.001;DR0347779;ILEB;;;05265223;31;1000687611;4582.14975;102;PF6;URJH9VSI58SAN00000000000000000000578482010;;;CURR_OPT_SMP
52011379;52011379;52009000;IMPORCELOS - IMPORTACAO DE LOUCAS E BRINQUEDOS LDA;Live;OTC Option;04-12-2024;04-12-2024;17-04-2025;17-04-2025;250000;USD;250000;;;;;;;;;;;22-04-2025;;250000;0;17-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Put;European;1.076;EUR;;ST_FX_REDES;1.05;5100276161;22796;22796.001;DR0347780;ILEB;;;05265223;31;;6020.37022;102;CF4;URJH9VSI58SAN00000000000000000000578482210;;;CURR_OPT_BAR
52012369;52012369;52009000;BANCO SANTANDER SA;Live;OTC Option;04-12-2024;04-12-2024;17-04-2025;17-04-2025;250000;USD;250000;;;;;;;;;;;22-04-2025;;250000;1706.68;17-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1.076;EUR;;ST_FX_REDES;;3686;22796;22796.002;DR0347782;BSTE;;;05800044;31;;0;102;PF7;;;;CURR_OPT_SMP
52095297;52095297;52095297;MADEICENTRO-EST.SERRACAO MAD.EXOTICAS LDA;Live;OTC Option;06-12-2024;06-12-2024;27-03-2025;27-03-2025;300000;USD;300000;;;;;;;;;;;31-03-2025;;300000;0;27-03-2025;;;;;283018.86792453;EUR;283018.86792453;;;;;;;;;;;;;;;;;;;;Sell;Put;AmerFwd4;1.06;EUR;;ST_FX_REDES;;8007772661;22811;22811.001;DR0347799;MAAA;;;05216774;31;1000636407;7553.90466;102;PF8;URJH9VSI58SAN00000000000000000000578538010;;;CURR_OPT_FLEX
52096320;52096320;52095297;BANCO SANTANDER SA;Live;OTC Option;06-12-2024;06-12-2024;27-03-2025;27-03-2025;300000;USD;300000;;;;;;;;;;;31-03-2025;;300000;861.13;27-03-2025;;;;;283018.86792453;EUR;283018.86792453;;;;;;;;;;;;;;;;;;;;Buy;Put;AmerFwd4;1.06;EUR;;ST_FX_REDES;;3686;22811;22811.002;DR0347798;BSTE;;;05800044;31;;17494.1363;102;PF5;;;;CURR_OPT_FLEX
52012443;52012443;52009000;BANCO SANTANDER SA;Live;OTC Option;04-12-2024;04-12-2024;17-04-2025;17-04-2025;250000;USD;250000;;;;;;;;;;;22-04-2025;;250000;0;17-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Put;European;1.076;EUR;;ST_FX_REDES;1.05;3686;22796;22796.002;DR0347781;BSTE;;;05800044;31;;7799.34897;102;CF1;;;;CURR_OPT_BAR
53686322;52063007;52062421;BANCO SANTANDER SA;Live;OTC Option;05-12-2024;05-12-2024;11-04-2025;11-04-2025;5600000;USD;4105000;;;;;;;;;;;15-04-2025;;4105000;-137282.72;11-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Put;American;1.05;EUR;;ST_FX_REDES;;3686;22805;22805.002;DR0347800;BSTE;;;05800044;31;;;102;CF1;;;;CURR_OPT_SMP
53335198;52277699;52277111;MADEIRA WINE COMPANY S.A.;Live;OTC Option;12-12-2024;12-12-2024;12-12-2025;12-12-2025;400000;USD;373545.14;;;;;;;;;;;16-12-2025;;373545.14;0;12-12-2025;;;;;371920.037192;EUR;347322.30590423;;;;;;;;;;;;;;;;;;;;Buy;Put;AmerFwd4;1.0755;EUR;;ST_FX_REDES;;8001088829;22822;22822.001;DR0347819;MWCS;;;05201603;31;1000645349;43268.40766;102;PF6;URJH9VSI58SAN00000000000000000000578634710;;;CURR_OPT_FLEX
53596518;52277865;52277520;MADEIRA WINE COMPANY S.A.;Live;OTC Option;12-12-2024;12-12-2024;12-12-2025;12-12-2025;350000;GBP;227665.3;;;;;;;;;;;16-12-2025;;227665.3;0;12-12-2025;;;;;414201.18343195;EUR;269426.39053254;;;;;;;;;;;;;;;;;;;;Buy;Put;AmerFwd4;.845;EUR;;ST_FX_REDES;;8001088829;22823;22823.001;DR0347826;MWCS;;;05201603;31;1000645349;18654.30271;102;PF6;URJH9VSI58SAN00000000000000000000578637910;;;CURR_OPT_FLEX
53596778;52277613;52277520;BANCO SANTANDER SA;Live;OTC Option;12-12-2024;12-12-2024;12-12-2025;12-12-2025;350000;GBP;227665.3;;;;;;;;;;;16-12-2025;;227665.3;1360.24;12-12-2025;;;;;414201.18343195;EUR;269426.39053254;;;;;;;;;;;;;;;;;;;;Sell;Put;AmerFwd4;.845;EUR;;ST_FX_REDES;;3686;22823;22823.002;DR0347825;BSTE;;;05800044;31;;24580.04883;102;PF7;;;;CURR_OPT_FLEX
53335215;52277706;52277111;BANCO SANTANDER SA;Live;OTC Option;12-12-2024;12-12-2024;12-12-2025;12-12-2025;400000;USD;373545.14;;;;;;;;;;;16-12-2025;;373545.14;1757.89;12-12-2025;;;;;371920.037192;EUR;347322.30590423;;;;;;;;;;;;;;;;;;;;Sell;Put;AmerFwd4;1.0755;EUR;;ST_FX_REDES;;3686;22822;22822.002;DR0347820;BSTE;;;05800044;31;;32556.45544;102;PF7;;;;CURR_OPT_FLEX
53258433;53258433;53258433;AMORIM CORK COMPOSITES SA;Live;OTC Option;17-01-2025;17-01-2025;15-04-2025;15-04-2025;1600000;USD;1600000;;;;;;;;;;;17-04-2025;;1600000;0;15-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1.04;EUR;;ST_FX_CORP_GL;;8002781981;22900;22900.001;DR0347983;CAIM;;;05200780;31;;0;102;PF8;URJH9VSI58SAN00000000000000000000579173910;;;CURR_OPT_SMP
53258608;53258608;53258433;AMORIM CORK COMPOSITES SA;Live;OTC Option;17-01-2025;17-01-2025;14-05-2025;14-05-2025;1600000;USD;1600000;;;;;;;;;;;16-05-2025;;1600000;0;14-05-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1.04;EUR;;ST_FX_CORP_GL;;8002781981;22900;22900.001;DR0347976;CAIM;;;05200780;31;;0;102;PF8;URJH9VSI58SAN00000000000000000000579174110;;;CURR_OPT_SMP
53258620;53258620;53258433;AMORIM CORK COMPOSITES SA;Live;OTC Option;17-01-2025;17-01-2025;11-06-2025;11-06-2025;1600000;USD;1600000;;;;;;;;;;;13-06-2025;;1600000;0;11-06-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1.04;EUR;;ST_FX_CORP_GL;;8002781981;22900;22900.001;DR0347974;CAIM;;;05200780;31;;0;102;PF8;URJH9VSI58SAN00000000000000000000579174310;;;CURR_OPT_SMP
53258650;53258650;53258433;AMORIM CORK COMPOSITES SA;Live;OTC Option;17-01-2025;17-01-2025;16-07-2025;16-07-2025;1600000;USD;1600000;;;;;;;;;;;18-07-2025;;1600000;0;16-07-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1.04;EUR;;ST_FX_CORP_GL;;8002781981;22900;22900.001;DR0347984;CAIM;;;05200780;31;;0;102;PF8;URJH9VSI58SAN00000000000000000000579174510;;;CURR_OPT_SMP
53258666;53258666;53258433;AMORIM CORK COMPOSITES SA;Live;OTC Option;17-01-2025;17-01-2025;06-08-2025;06-08-2025;1600000;USD;1600000;;;;;;;;;;;08-08-2025;;1600000;0;06-08-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1.04;EUR;;ST_FX_CORP_GL;;8002781981;22900;22900.001;DR0347973;CAIM;;;05200780;31;;0;102;PF8;URJH9VSI58SAN00000000000000000000579174710;;;CURR_OPT_SMP
53258709;53258709;53258433;AMORIM CORK COMPOSITES SA;Live;OTC Option;17-01-2025;17-01-2025;17-09-2025;17-09-2025;1600000;USD;1600000;;;;;;;;;;;19-09-2025;;1600000;189000;17-09-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;1.04;EUR;;ST_FX_CORP_GL;;8002781981;22900;22900.001;DR0347982;CAIM;;;05200780;31;;0;102;PF8;URJH9VSI58SAN00000000000000000000579174910;;;CURR_OPT_SMP
53258655;53258655;53258433;BANCO SANTANDER SA;Live;OTC Option;17-01-2025;17-01-2025;16-07-2025;16-07-2025;1600000;USD;1600000;;;;;;;;;;;18-07-2025;;1600000;0;16-07-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1.04;EUR;;ST_FX_CORP_GL;;3686;22900;22900.002;DR0347975;BSTE;;;05800044;31;;117117.22077;102;PF5;;;;CURR_OPT_SMP
53258692;53258692;53258433;BANCO SANTANDER SA;Live;OTC Option;17-01-2025;17-01-2025;06-08-2025;06-08-2025;1600000;USD;1600000;;;;;;;;;;;08-08-2025;;1600000;0;06-08-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1.04;EUR;;ST_FX_CORP_GL;;3686;22900;22900.002;DR0347979;BSTE;;;05800044;31;;156909.98175;102;PF5;;;;CURR_OPT_SMP
53258547;53258547;53258433;BANCO SANTANDER SA;Live;OTC Option;17-01-2025;17-01-2025;15-04-2025;15-04-2025;1600000;USD;1600000;;;;;;;;;;;17-04-2025;;1600000;0;15-04-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1.04;EUR;;ST_FX_CORP_GL;;3686;22900;22900.002;DR0347981;BSTE;;;05800044;31;;72532.99218;102;PF5;;;;CURR_OPT_SMP
53258613;53258613;53258433;BANCO SANTANDER SA;Live;OTC Option;17-01-2025;17-01-2025;14-05-2025;14-05-2025;1600000;USD;1600000;;;;;;;;;;;16-05-2025;;1600000;0;14-05-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1.04;EUR;;ST_FX_CORP_GL;;3686;22900;22900.002;DR0347977;BSTE;;;05800044;31;;113286.6025;102;PF5;;;;CURR_OPT_SMP
53258625;53258625;53258433;BANCO SANTANDER SA;Live;OTC Option;17-01-2025;17-01-2025;11-06-2025;11-06-2025;1600000;USD;1600000;;;;;;;;;;;13-06-2025;;1600000;0;11-06-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;1.04;EUR;;ST_FX_CORP_GL;;3686;22900;22900.002;DR0347978;BSTE;;;05800044;31;;114844.67987;102;PF5;;;;CURR_OPT_SMP
53398601;53398601;53397931;BANCO SANTANDER SA;Live;OTC Option;22-01-2025;22-01-2025;12-01-2026;12-01-2026;179000000;MXN;179000000;;;;;;;;;;;14-01-2026;;179000000;-63000;12-01-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;26.913;EUR;;ST_FX_REDES;;3686;22921;22921.002;DR0348015;BSTE;;;05800044;31;;316888.33956;102;PF5;;;;CURR_OPT_SMP
53397931;53397931;53397931;COLEP PACKAGING MX S.A.;Live;OTC Option;22-01-2025;22-01-2025;12-01-2026;12-01-2026;179000000;MXN;179000000;;;;;;;;;;;14-01-2026;;179000000;65000;12-01-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;26.913;EUR;;ST_FX_REDES;;7402738150;22921;22921.001;DR0348016;00R3VD;;;05C12947;31;;0;102;PF8;URJH9VSI58SAN00000000000000000000579250010;;;CURR_OPT_SMP
15741633;1863170;1863162;ELECGAS S.A.;Live;Swap;14-03-2008;01-02-2012;01-02-2035;01-02-2035;60978456.9;EUR;34871817.11;Fixed;Loan;Actual/360 Linear;6M;;0;4.788;4.788;;03-02-2025;01-08-2025;894757.28;830193.35;;;01-08-2025;N;Y;N;60978456.9;EUR;34871817.11;Floating;Borrower;Actual/360 Linear;6M;EURIBOR-EURIBOR-6M;0;1.425;2.593;30-01-2025;03-02-2025;01-08-2025;669946.71;830193.35;;30-07-2025;01-08-2025;N;Y;N;;;;;EUR;;ST_RT_CORP_GL;;7400412936;5913;1863170;DR0315554;ETYM;;;05228666;31;;6842381.74512;101;INS;URJH9VSI58SAN00000000000000000000012104710;;;IRD_IRS
38438152;2507752;2507752;BANCO SANTANDER SA;Live;Swap;30-01-2009;02-02-2009;31-12-2029;31-12-2029;3201387.22;EUR;47950712.48;Floating;Loan;Actual/360 Linear;6M;EURIBOR-EURIBOR-6M;0;2.194;2.577;27-12-2024;31-12-2024;30-06-2025;931932.6;621277.4;;26-06-2025;30-06-2025;N;Y;N;3201387.22;EUR;47950712.48;Fixed;Borrower;Actual/360 Linear;6M;;0;4.22;4.22;;31-12-2024;30-06-2025;1071011.87;621277.4;;;30-06-2025;N;Y;N;;;;;EUR;;ST_RT_CORP_GL;;3686;8455;2507752;DR0332073;BSTE;;;05800044;31;;173530.20646;101;IGS;1030266796SAN00000000000000000000171142421;;;IRD_IRS
